WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
European Region,SVK,Slovakia,Okoc,2016,14.76,23.17,6.67,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Trencin,2016,17.89,29.37,27.31,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Banska Bystrica,2017,19.63,32.99,25.41,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Bratislava,2017,14.72,21.84,25.73,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Hrabusice,2017,20.7,27.35,18.49,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Humenne,2017,21.66,26.48,11.45,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Jelsava,2017,26.71,37.08,9.93,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Kosice,2017,21.3,30.82,30.94,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Malacky,2017,17.16,22.94,28.62,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Martin,2017,22.06,28.3,25.67,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Nitra,2017,16.7,26.1,24.66,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Okoc,2017,16.43,23.61,7.94,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Presov,2017,24.32,33.81,38.39,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Prievidza,2017,18.39,26.12,19.25,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Ruzomberok,2017,24.42,29.52,21.06,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Stara Lesna,2017,11.09,12.86,4.49,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Trencin,2017,13.2,29.84,31.13,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Trnava,2017,16.8,24.43,36.54,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Zilina,2017,25.9,30.01,24.77,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Banska Bystrica,2018,17.28,25.78,22.25,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Bratislava,2018,17.39,26.42,25.01,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Hrabusice,2018,18.88,24.14,18.02,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Humenne,2018,19.08,21.8,9.47,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Jelsava,2018,23.7,36.01,9.85,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Kosice,2018,17.46,28.85,28.05,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Malacky,2018,17.91,26.79,26.69,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Martin,2018,17.64,28.44,25.74,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Nitra,2018,17.32,26.27,22.72,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Okoc,2018,17.53,25.82,6.89,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Presov,2018,20.12,29.66,40.63,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Prievidza,2018,17.78,23.39,16.3,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Ruzomberok,2018,20.55,26.53,20.0,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Stara Lesna,2018,12.49,15.44,4.29,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Trencin,2018,19.69,29.46,26.71,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Trnava,2018,20.41,28.91,35.33,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Zilina,2018,21.7,26.9,25.24,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Banska Bystrica,2019,13.92,21.06,19.09,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Bratislava,2019,13.54,21.56,22.82,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Hrabusice,2019,17.69,25.17,16.57,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Humenne,2019,17.7,23.06,9.0,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Jelsava,2019,21.07,33.01,9.3,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Kosice,2019,16.07,25.71,27.74,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Malacky,2019,15.73,22.84,21.54,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Martin,2019,15.01,18.62,23.96,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Nitra,2019,15.05,22.0,20.37,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Okoc,2019,14.38,21.45,7.51,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Presov,2019,18.2,27.63,38.98,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Prievidza,2019,14.5,19.7,15.77,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Ruzomberok,2019,18.25,23.76,18.36,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Stara Lesna,2019,11.21,13.82,4.54,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Trencin,2019,17.68,24.94,26.64,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Trnava,2019,16.19,23.86,33.83,European Environment Agency (downloaded in 2021)
European Region,SVK,Slovakia,Zilina,2019,18.45,23.27,21.44,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Ljubljana,2010,21.87,28.17,34.7,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Maribor,2010,22.61,32.66,34.17,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Stalcerji,2010,11.61,14.4,1.83,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Ljubljana,2013,20.26,24.88,28.54,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Maribor,2013,20.6,30.35,31.94,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Stalcerji,2013,10.57,12.6,1.99,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Ljubljana,2014,17.72,22.46,26.26,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Maribor,2014,18.15,26.53,30.2,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Stalcerji,2014,9.33,11.41,1.59,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Ljubljana,2015,22.57,27.67,29.71,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Maribor,2015,20.33,28.16,30.76,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Stalcerji,2015,10.03,12.52,1.61,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Ljubljana,2016,22.5,25.63,29.41,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Maribor,2016,20.37,27.26,26.76,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Stalcerji,2016,9.28,11.42,1.67,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Ljubljana,2017,20.48,26.32,30.46,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Maribor,2017,19.12,27.53,27.32,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Stalcerji,2017,9.99,12.24,1.77,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Ljubljana,2018,18.78,24.16,26.22,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Maribor,2018,16.94,27.89,22.3,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Nova Gorica,2018,14.38,21.88,24.62,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Stalcerji,2018,11.37,14.09,2.2,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Ljubljana,2019,16.22,21.47,24.99,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Maribor,2019,12.87,22.64,24.51,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Nova Gorica,2019,12.84,21.45,25.92,European Environment Agency (downloaded in 2021)
European Region,SVN,Slovenia,Stalcerji,2019,7.88,11.01,2.35,European Environment Agency (downloaded in 2021)
African Region,ZAF,South Africa,Waterberg,2013,17.82,47.49,13.26,South African Air Quality Information System
African Region,ZAF,South Africa,City Of Johannesburg,2014,22.86,40.24,41.88,South African Air Quality Information System
African Region,ZAF,South Africa,Gert Sibande,2014,17.69,40.2,20.93,South African Air Quality Information System
African Region,ZAF,South Africa,Nkangala,2014,14.8,45.2,22.36,South African Air Quality Information System
African Region,ZAF,South Africa,Waterberg,2014,12.87,29.58,12.03,South African Air Quality Information System
African Region,ZAF,South Africa,Ethekwini,2015,15.61,23.74,3.7,South African Air Quality Information System
African Region,ZAF,South Africa,Gert Sibande,2015,15.16,46.6,25.62,South African Air Quality Information System
African Region,ZAF,South Africa,Nkangala,2015,21.34,47.38,31.97,South African Air Quality Information System
African Region,ZAF,South Africa,Waterberg,2015,10.59,28.64,15.89,South African Air Quality Information System
African Region,ZAF,South Africa,West Coast,2015,7.47,24.64,7.64,South African Air Quality Information System
African Region,ZAF,South Africa,City Of Johannesburg,2016,24.64,31.99,45.17,South African Air Quality Information System
African Region,ZAF,South Africa,Gert Sibande,2016,26.08,39.74,18.64,South African Air Quality Information System
African Region,ZAF,South Africa,Nkangala,2016,15.58,43.06,28.49,South African Air Quality Information System
African Region,ZAF,South Africa,Waterberg,2016,12.82,30.56,40.41,South African Air Quality Information System
African Region,ZAF,South Africa,West Coast,2016,8.42,33.28,7.27,South African Air Quality Information System
African Region,ZAF,South Africa,Gert Sibande,2017,22.45,45.94,23.66,South African Air Quality Information System
African Region,ZAF,South Africa,Waterberg,2017,15.48,41.72,13.19,South African Air Quality Information System
African Region,ZAF,South Africa,West Coast,2017,6.83,20.49,8.72,South African Air Quality Information System
African Region,ZAF,South Africa,City Of Johannesburg,2018,22.68,41.74,35.79,South African Air Quality Information System
African Region,ZAF,South Africa,Gert Sibande,2018,17.1,41.9,19.42,South African Air Quality Information System
African Region,ZAF,South Africa,Waterberg,2018,16.62,43.91,13.69,South African Air Quality Information System
African Region,ZAF,South Africa,West Coast,2018,6.1,17.99,7.15,South African Air Quality Information System
African Region,ZAF,South Africa,City Of Cape Town,2019,8.07,9.91,24.22,South African Air Quality Information System
African Region,ZAF,South Africa,Gert Sibande,2019,15.42,38.86,23.09,South African Air Quality Information System
African Region,ZAF,South Africa,Greater Sekhukhune,2019,5.3,7.7,14.84,South African Air Quality Information System
African Region,ZAF,South Africa,Mopani,2019,14.68,32.47,4.6,South African Air Quality Information System
African Region,ZAF,South Africa,Namakwa,2019,4.05,6.96,4.17,South African Air Quality Information System
African Region,ZAF,South Africa,Uthungulu,2019,6.91,19.89,9.13,South African Air Quality Information System
African Region,ZAF,South Africa,City Of Cape Town,2020,8.92,25.25,8.22,South African Air Quality Information System
African Region,ZAF,South Africa,Ethekwini,2020,16.83,39.12,36.35,South African Air Quality Information System
African Region,ZAF,South Africa,Gert Sibande,2020,19.59,31.91,17.66,South African Air Quality Information System
African Region,ZAF,South Africa,Greater Sekhukhune,2020,7.57,6.05,9.0,South African Air Quality Information System
African Region,ZAF,South Africa,Mopani,2020,10.84,25.33,4.39,South African Air Quality Information System
African Region,ZAF,South Africa,Nelson Mandela Bay,2020,9.99,26.51,10.65,South African Air Quality Information System
African Region,ZAF,South Africa,Ngaka Modiri Molema,2020,13.18,29.41,9.65,South African Air Quality Information System
African Region,ZAF,South Africa,Waterberg,2020,15.57,41.06,8.86,South African Air Quality Information System
African Region,ZAF,South Africa,Buffalo City,2021,12.63,29.04,10.88,South African Air Quality Information System
African Region,ZAF,South Africa,City Of Cape Town,2021,14.86,36.34,17.2,South African Air Quality Information System
African Region,ZAF,South Africa,Dr Kenneth Kaunda,2021,11.73,23.9,11.61,South African Air Quality Information System
African Region,ZAF,South Africa,Ethekwini,2021,16.67,39.13,11.61,South African Air Quality Information System
African Region,ZAF,South Africa,Nelson Mandela Bay,2021,14.4,25.99,7.8,South African Air Quality Information System
African Region,ZAF,South Africa,Waterberg,2021,18.86,44.71,18.37,South African Air Quality Information System
European Region,ESP,Spain,Aguimes,2010,7.38,24.84,10.36,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Albacete,2010,14.16,34.18,12.7,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alcora (L'),2010,9.62,32.1,11.98,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alcorcon,2010,8.89,25.45,36.3,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alcoy/Alcoi,2010,11.06,13.65,15.45,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alfaro,2010,11.26,29.5,10.53,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Algete,2010,9.36,31.88,13.19,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alicante/Alacant,2010,12.14,23.26,27.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Almazora/Almassora,2010,11.82,32.01,25.58,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arafo,2010,8.51,19.43,10.64,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arona,2010,11.12,23.8,6.87,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arrecife,2010,4.95,24.05,7.86,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arrubal,2010,10.23,23.32,11.35,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arucas,2010,4.82,17.72,4.91,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Atazar (El),2010,8.91,23.86,4.24,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Barcarrota,2010,7.64,15.18,2.94,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Barcelona,2010,17.16,27.42,46.94,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Benidorm,2010,9.16,12.96,9.15,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Brena Baja,2010,5.86,21.65,14.89,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Bunol,2010,9.25,16.12,15.66,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Burriana,2010,16.71,18.16,8.15,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Cadaques,2010,7.89,16.43,2.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Campisabalos,2010,5.66,11.01,1.51,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Castellon De La Plana,2010,11.07,19.62,18.25,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Caudete De Las Fuentes,2010,10.45,15.17,8.99,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Collado Villalba,2010,13.25,30.2,34.23,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Elda,2010,10.26,14.47,13.22,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Galilea,2010,9.15,12.99,9.62,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Gandia,2010,14.23,20.77,17.48,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Gijon,2010,11.94,30.03,34.74,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Granadilla De Abona,2010,8.88,25.17,9.21,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Langreo,2010,16.96,23.89,21.22,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Llanes,2010,9.25,15.43,5.34,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Madrid,2010,12.32,21.72,44.49,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Palma De Mallorca,2010,10.61,23.46,24.58,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Palmas De Gran Canaria (Las),2010,7.36,21.8,20.78,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Pamplona,2010,13.31,25.0,30.96,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Penausende,2010,4.86,8.72,3.76,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Pontes De Garcia Rodríguez,2010,7.94,13.14,4.16,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Pradejon,2010,7.15,22.53,9.64,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Puerto Del Rosario,2010,6.5,26.09,9.93,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Puertollano,2010,17.03,27.04,17.68,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Realejos (Los),2010,4.42,18.17,11.92,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Bartolome De Tirajana,2010,8.73,29.02,13.73,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Pablo De Los Montes,2010,5.93,11.0,3.15,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Sanguesa/Zangoza,2010,15.73,27.23,7.64,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santa Cruz De Tenerife,2010,8.79,24.04,25.23,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santiago De Compostela,2010,6.28,11.54,15.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Teguise,2010,6.71,21.17,7.54,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Telde,2010,7.84,18.1,10.19,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Torms (Els),2010,7.32,12.61,3.68,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Torrejon De Ardoz,2010,15.01,37.05,24.95,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valdemoro,2010,12.92,28.99,24.15,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valencia,2010,13.0,23.16,33.21,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valladolid,2010,11.39,19.78,23.15,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villa Del Prado,2010,9.07,23.96,8.3,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villalba De Guardo,2010,6.74,10.31,2.9,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villar Del Arzobispo,2010,9.03,13.92,4.94,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villarejo De Salvanes,2010,12.54,32.84,16.98,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Viver,2010,8.98,18.88,8.01,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Zarra,2010,5.47,11.89,4.28,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Zorita Del Maestrazgo,2010,8.4,15.98,5.04,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Aguimes,2013,7.27,20.62,5.51,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alacant,2013,9.82,15.89,22.22,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Albalat Dels Tarongers,2013,7.0,9.82,8.32,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alcorcon,2013,9.88,20.64,30.25,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alfaro,2013,8.32,22.93,10.88,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Almassora,2013,7.93,10.2,8.79,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arrecife,2013,4.42,24.39,9.14,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arucas,2013,11.29,23.13,6.31,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,As Pontes De Garcia Rodriguez,2013,7.38,9.97,3.61,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Badajoz,2013,6.94,12.92,4.88,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Balcon De Telde,2013,10.49,20.06,13.24,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Barcelona,2013,15.24,24.39,40.07,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Benicasim,2013,7.27,9.45,12.95,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Benidorm,2013,7.89,10.35,6.21,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Brena Baja,2013,6.67,16.46,10.06,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Bunol,2013,5.16,6.84,11.61,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Bunyola,2013,6.25,14.25,5.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Buzanada,2013,12.27,32.29,7.65,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Caceres,2013,7.05,11.26,6.76,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Cadaques,2013,7.42,16.93,4.86,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Campisabalos,2013,4.82,6.2,2.33,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Candelaria,2013,5.6,18.41,12.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Cardenajimeno,2013,7.96,15.36,9.41,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Castello,2013,7.13,9.04,7.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Castillo Del Romeral,2013,8.2,25.95,8.0,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Caudete De Las Fuentes,2013,8.29,12.15,9.2,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Collado Villalba,2013,12.3,23.95,29.74,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,El Grao De Castellon,2013,12.22,15.83,16.0,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,El Medano,2013,8.99,25.02,14.73,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,El Rio,2013,10.16,26.7,5.74,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Els Torms,2013,6.19,11.37,3.82,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Fortelasa De Isabel Ii,2013,5.8,17.37,3.89,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Galilea,2013,7.91,10.41,6.45,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Gandia,2013,10.12,16.68,25.02,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Gijon,2013,11.06,26.41,28.5,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Igueste De Candelaria,2013,4.5,15.89,10.29,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Langreo,2013,14.3,25.59,17.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Las Palmas,2013,5.68,24.79,6.99,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Las Palmas De Gran Canaria,2013,5.36,24.27,20.2,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Leon,2013,8.7,16.97,20.64,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Llanes,2013,6.56,15.37,3.76,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Los Realejos,2013,4.81,18.06,7.94,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Lugo,2013,6.76,16.19,6.36,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Madrid,2013,9.95,18.22,32.68,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Oliva De Plasencia,2013,5.79,10.35,7.49,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Oural,2013,13.02,14.11,25.29,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Patones,2013,7.45,11.32,5.03,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Pradejon,2013,7.89,17.98,11.49,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Puerto Del Rosario,2013,7.96,25.92,9.12,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Sagunt,2013,7.51,12.62,8.74,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Salamanca,2013,7.78,15.81,15.69,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Bartolome De Tirajana,2013,9.63,27.88,16.25,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Isidro,2013,8.74,23.84,16.01,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Pablo De Los Montes,2013,5.34,9.96,2.64,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Sant Feliu De Llobregat,2013,9.66,18.87,21.02,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santa Cruz De La Palma,2013,5.76,21.35,14.89,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santa Cruz De Tenerife,2013,7.83,19.76,16.42,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Teguise,2013,6.94,19.34,5.0,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Telde,2013,10.53,25.8,9.67,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Torrejon De Ardoz,2013,9.94,19.35,23.69,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valdemoro,2013,10.52,22.33,19.26,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valencia,2013,8.43,14.07,14.26,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valladolid,2013,9.68,15.87,22.05,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Vigo,2013,11.04,21.49,20.55,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villalba De Guardo,2013,5.34,7.7,1.51,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villarejo De Salvanes,2013,10.31,20.18,11.68,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Viver,2013,6.69,9.77,5.33,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Viznar,2013,9.39,13.79,4.44,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Zaragoza,2013,10.43,16.9,26.42,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,A Coruna,2014,15.88,27.48,19.58,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Aguimes,2014,6.56,17.29,6.21,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alacant,2014,9.47,17.9,22.15,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alagon,2014,12.14,17.97,20.69,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Albalat Dels Tarongers,2014,8.61,14.51,8.4,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alcorcon,2014,7.59,25.22,29.74,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alfaro,2014,8.35,24.54,9.8,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Almassora,2014,9.24,15.14,12.93,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arrecife,2014,5.28,25.56,10.25,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arucas,2014,9.85,22.24,5.44,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,As Pontes De Garcia Rodriguez,2014,7.61,8.72,3.81,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Badajoz,2014,7.74,13.55,3.64,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Balcon De Telde,2014,8.19,30.18,11.58,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Barcelona,2014,14.89,24.96,38.95,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Beasain,2014,7.97,17.67,22.21,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Benicasim,2014,5.28,9.17,10.68,European Environment Agency (downloaded in 2021)
